1058106365	20210810	202108	2021	2021.6027	CHN	CHINESE	CHN																		1	110	110	11	3	-2.0	3	1	3	-4.21585160202361	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	0								4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	20220810233000	https://www.foxnews.com/media/new-york-times-publishes-essay-written-chinese-communist-party-member
1058106366	20210810	202108	2021	2021.6027	CHN	CHINA	CHN																		1	110	110	11	3	-2.0	1	1	1	-4.21585160202361	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20220810233000	https://www.foxnews.com/media/new-york-times-publishes-essay-written-chinese-communist-party-member
1058106367	20210810	202108	2021	2021.6027	CHN	CHINESE	CHN																		1	180	180	18	4	-9.0	4	1	4	-4.21585160202361	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	0								4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	20220810233000	https://www.foxnews.com/media/new-york-times-publishes-essay-written-chinese-communist-party-member
1058106368	20210810	202108	2021	2021.6027	COL	COLOMBIA	COL								USA	THE US	USA								0	043	043	04	1	2.8	10	1	10	3.46820809248554	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	1	Colombia	CO	CO		4	-72	CO	20220810233000	https://www.stuff.co.nz/life-style/homed/real-estate/129539993/mortgage-adviser-himself-a-landlord-with-many-houses-tells-how-he-did-it
1058106369	20210810	202108	2021	2021.6027	EDU	STUDENT						EDU			USA	CHICAGO	USA								0	042	042	04	1	1.9	1	1	1	0.46082949308756	3	Near West Side, Illinois, United States	US	USIL	IL031	41.88	-87.6667	1772796	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Near West Side, Illinois, United States	US	USIL		41.88	-87.6667	1772796	20220810233000	http://www.chicagotribune.com/news/breaking/ct-whitney-young-principal-joyce-kenner-20220810-c7kbrfmcdbfptl3jpovelfxunm-story.html
1058106370	20210810	202108	2021	2021.6027	EDU	STUDENT						EDU			USAEDU	UNITED STATES	USA					EDU			0	042	042	04	1	1.9	1	1	1	0.46082949308756	3	South Shore, Illinois, United States	US	USIL	IL031	41.762	-87.5778	1772623	3	South Shore, Illinois, United States	US	USIL		41.762	-87.5778	1772623	3	South Shore, Illinois, United States	US	USIL		41.762	-87.5778	1772623	20220810233000	http://www.chicagotribune.com/news/breaking/ct-whitney-young-principal-joyce-kenner-20220810-c7kbrfmcdbfptl3jpovelfxunm-story.html
1058106371	20210810	202108	2021	2021.6027	EDU	STUDENT						EDU			USAEDU	UNITED STATES	USA					EDU			0	042	042	04	1	1.9	3	1	3	0.46082949308756	3	Near West Side, Illinois, United States	US	USIL	IL031	41.88	-87.6667	1772796	3	Near West Side, Illinois, United States	US	USIL		41.88	-87.6667	1772796	3	Near West Side, Illinois, United States	US	USIL		41.88	-87.6667	1772796	20220810233000	http://www.chicagotribune.com/news/breaking/ct-whitney-young-principal-joyce-kenner-20220810-c7kbrfmcdbfptl3jpovelfxunm-story.html
1058106372	20210810	202108	2021	2021.6027	GOV	GOVERNOR						GOV			USA	UNITED STATES	USA								1	084	084	08	2	7.0	2	1	2	0	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220810233000	https://www.wgowam.com/news/desantis-campaign-ad-touts-florida-freedom-takes-a-dig-at-crist/
1058106373	20210810	202108	2021	2021.6027	GOV	GOVERNOR						GOV			USA	UNITED STATES	USA								1	193	193	19	4	-10.0	2	1	2	0	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	2	Florida, United States	US	USFL		27.8333	-81.717	FL	20220810233000	https://www.wgowam.com/news/desantis-campaign-ad-touts-florida-freedom-takes-a-dig-at-crist/
1058106374	20210810	202108	2021	2021.6027	USA	UNITED STATES	USA								CHN	CHINA	CHN								1	110	110	11	3	-2.0	1	1	1	-4.21585160202361	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220810233000	https://www.foxnews.com/media/new-york-times-publishes-essay-written-chinese-communist-party-member
