1058039585	20210810	202108	2021	2021.6027											USA	UNITED STATES	USA								1	139	139	13	3	-7.0	2	1	2	-0.17113519680547	0								2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20220810143000	https://www.krcu.org/news/2022-08-10/federal-government-will-step-in-to-help-pull-missouri-out-of-months-long-medicaid-backlog
1058039586	20210810	202108	2021	2021.6027	AUS	SYDNEY	AUS								POL	WARSAW	POL								1	042	042	04	1	1.9	8	1	8	-0.757575757575762	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	4	Istanbul, Istanbul, Turkey	TU	TU34	27897	41.0186	28.9647	-755070	20220810143000	https://www.indiagazette.com/news/272649270/latest-count-of-confirmed-covid-19-cases-worldwide-at-1000-gmt-aug-10
1058039587	20210810	202108	2021	2021.6027	FRA	FRANCE	FRA																		1	061	061	06	2	6.4	5	1	5	-2.61569416498994	1	Sweden	SW	SW		62	15	SW	0								1	Sweden	SW	SW		62	15	SW	20220810143000	https://www.bnnbloomberg.ca/france-pushed-off-top-spot-as-europe-s-biggest-exporter-of-power-1.1803960
1058039588	20210810	202108	2021	2021.6027	POL	WARSAW	POL								AUS	SYDNEY	AUS								1	043	043	04	1	2.8	8	1	8	-0.757575757575762	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	4	Sydney, New South Wales, Australia	AS	AS02	154637	-33.8833	151.217	-1603135	4	Warsaw, (PL67), Poland	PL	PL67	24452	52.25	21	-534433	20220810143000	https://www.indiagazette.com/news/272649270/latest-count-of-confirmed-covid-19-cases-worldwide-at-1000-gmt-aug-10
1058039589	20210810	202108	2021	2021.6027	USA	UNITED STATES	USA																		0	030	030	03	1	4.0	2	1	2	-7.14792899408284	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	0								4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220810143000	https://www.lawfareblog.com/us-v-al-nashiri-government-rewarding-torture-and-incentivizing-torturers
1058039590	20210810	202108	2021	2021.6027	USA	UNITED STATES	USA																		0	1822	182	18	4	-9.0	2	1	2	-7.14792899408284	4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	0								4	Durban, KwaZulu-Natal, South Africa	SF	SF02	77363	-29.85	31.0167	-1224926	20220810143000	https://www.lawfareblog.com/us-v-al-nashiri-government-rewarding-torture-and-incentivizing-torturers
1058039591	20210810	202108	2021	2021.6027	USA	UNITED STATES	USA																		0	1822	182	18	4	-9.0	8	1	8	-7.14792899408284	1	United States	US	US		39.828175	-98.5795	US	0								1	United States	US	US		39.828175	-98.5795	US	20220810143000	https://www.lawfareblog.com/us-v-al-nashiri-government-rewarding-torture-and-incentivizing-torturers
1058039592	20220711	202207	2022	2022.5233	CRM	CRIMINAL						CRM			RUSGOV	VLADIMIR PUTIN	RUS					GOV			1	111	111	11	3	-2.0	10	1	10	-8.51063829787233	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kremlin, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220810143000	https://www.bnnbloomberg.ca/police-raid-home-of-russian-tv-journalist-who-protested-war-1.1803989
1058039593	20220711	202207	2022	2022.5233	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	043	043	04	1	2.8	3	1	3	-4.15584415584415	3	Knott County, Kentucky, United States	US	USKY	KY119	37.3501	-82.9499	516906	3	Perry County, Kentucky, United States	US	USKY		37.2507	-83.1999	516943	3	Knott County, Kentucky, United States	US	USKY		37.3501	-82.9499	516906	20220810143000	https://www.wrtv.com/news/eastern-kentucky-teen-dies-days-after-helping-flood-victims
1058039594	20220711	202207	2022	2022.5233	EDU	SCHOOL						EDU			USA	UNITED STATES	USA								1	043	043	04	1	2.8	3	1	3	-4.15584415584415	3	Knott County, Kentucky, United States	US	USKY	KY119	37.3501	-82.9499	516906	3	Perry County, Kentucky, United States	US	USKY		37.2507	-83.1999	516943	3	Perry County, Kentucky, United States	US	USKY		37.2507	-83.1999	516943	20220810143000	https://www.wrtv.com/news/eastern-kentucky-teen-dies-days-after-helping-flood-victims
1058039595	20220711	202207	2022	2022.5233	FRA	PARIS	FRA								USAMED	REUTERS	USA					MED			1	111	111	11	3	-2.0	5	1	5	-9.87654320987654	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	4	Paris, France (general), France	FR	FR00	16282	48.8667	2.33333	-1456928	20220810143000	https://article.wn.com/view/2022/08/10/Wildfires_rage_in_southwestern_France_amid_new_heatwave/
1058039596	20220711	202207	2022	2022.5233	JUD	LAWYER						JUD			RUSGOV	RUSSIA	RUS					GOV			0	010	010	01	1	0.0	1	1	1	-12.5	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220810143000	https://www.iwradio.co.uk/news/sky-news/russian-journalist-marina-ovsyannikova-who-protested-ukraine-war-live-on-tv-has-home-raided/
1058039597	20220711	202207	2022	2022.5233	RUSJUD	RUSSIA	RUS					JUD			RUSGOV	RUSSIA	RUS					GOV			0	010	010	01	1	0.0	1	1	1	-12.5	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	1	Ukraine	UP	UP		49	32	UP	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	20220810143000	https://www.iwradio.co.uk/news/sky-news/russian-journalist-marina-ovsyannikova-who-protested-ukraine-war-live-on-tv-has-home-raided/
1058039598	20220711	202207	2022	2022.5233	USA	KANSAS CITY	USA								USACOP	MISSOURI	USA					COP			1	015	015	01	1	0.0	10	1	10	-16.5605095541401	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20220810143000	https://www.kshb.com/news/crime/kansas-city-man-sentenced-to-12-years-in-prison-in-child-sex-case
1058039599	20220711	202207	2022	2022.5233	USA	KANSAS CITY	USA								USACOP	MISSOURI	USA					COP			1	173	173	17	4	-5.0	10	1	10	-16.5605095541401	2	Kansas, United States	US	USKS		38.5111	-96.8005	KS	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	2	Missouri, United States	US	USMO		38.4623	-92.302	MO	20220810143000	https://www.kshb.com/news/crime/kansas-city-man-sentenced-to-12-years-in-prison-in-child-sex-case
1058039600	20220803	202208	2022	2022.5836	BUS	COMPANY						BUS			MNCUSALAB	LOCKHEED MARTIN	USA					MNC	LAB		1	010	010	01	1	0.0	2	1	2	-5.11882998171847	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220810143000	https://www.newsweek.com/himars-maker-lockheed-martin-cyberattack-russian-hackers-1732504
1058039601	20220803	202208	2022	2022.5836	BUS	COMPANY						BUS			MNCUSALAB	LOCKHEED MARTIN	USA					MNC	LAB		1	010	010	01	1	0.0	2	1	2	-5.11882998171847	1	United States	US	US		39.828175	-98.5795	US	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	4	Kyiv, Kyyiv, Misto, Ukraine	UP	UP12	28554	50.4333	30.5167	-1044367	20220810143000	https://www.newsweek.com/himars-maker-lockheed-martin-cyberattack-russian-hackers-1732504
