1058103495	20210810	202108	2021	2021.6027	CHR	DIOCESE				CHR					LEG	CONGRESS						LEG			1	042	042	04	1	1.9	2	1	2	2.77777777777778	3	Salt Lake, Utah, United States	US	USUT	UT027	39.1559	-112.691	1436291	3	Salt Lake, Utah, United States	US	USUT		39.1559	-112.691	1436291	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20220810230000	http://www.icatholic.org/article/pastoral-congress-scheduled-for-sept-17-50716376
1058103496	20210810	202108	2021	2021.6027	CHR	DIOCESE				CHR					LEG	CONGRESS						LEG			1	173	173	17	4	-5.0	2	1	2	2.77777777777778	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20220810230000	http://www.icatholic.org/article/pastoral-congress-scheduled-for-sept-17-50716376
1058103497	20210810	202108	2021	2021.6027	EDU	SCHOOL						EDU			USACOP	MINNEAPOLIS	USA					COP			1	190	190	19	4	-10.0	5	1	5	-2.94599018003274	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	2	Minnesota, United States	US	USMN		45.7326	-93.9196	MN	20220810230000	https://www.nytimes.com/2022/08/10/us/politics/ilhan-omar-policing.html
1058103498	20210810	202108	2021	2021.6027	GBR	GLASGOW	GBR								EDU	UNIVERSITY						EDU			0	022	022	02	1	3.2	8	1	8	1.07655502392345	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	4	Glasgow, Glasgow City, United Kingdom	UK	UKV2	40176	55.8333	-4.25	-2597039	20220810230000	https://www.bbc.co.uk/news/uk-scotland-glasgow-west-62493966
1058103499	20210810	202108	2021	2021.6027	LEG	LEGISLATURE						LEG													0	071	071	07	2	7.4	12	2	12	1.13314674932538	2	Iowa, United States	US	USIA		42.0046	-93.214	IA	0								2	Iowa, United States	US	USIA		42.0046	-93.214	IA	20220810230000	https://qconline.com/news/local/govt-and-politics/latest-state-broadband-map-open-to-challenge-process/article_6ad15e16-a7f6-56ee-adba-d556499e2128.html
1058103500	20210810	202108	2021	2021.6027	LEG	CONGRESS						LEG			CHR	DIOCESE				CHR					1	043	043	04	1	2.8	2	1	2	2.77777777777778	3	Salt Lake, Utah, United States	US	USUT	UT027	39.1559	-112.691	1436291	3	Salt Lake, Utah, United States	US	USUT		39.1559	-112.691	1436291	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20220810230000	http://www.icatholic.org/article/pastoral-congress-scheduled-for-sept-17-50716376
1058103501	20210810	202108	2021	2021.6027	LEG	CONGRESS						LEG			CHRCTH	CATHOLIC				CHR	CTH				1	036	036	03	1	4.0	5	1	5	2.77777777777778	3	Salt Lake, Utah, United States	US	USUT	UT027	39.1559	-112.691	1436291	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20220810230000	http://www.icatholic.org/article/pastoral-congress-scheduled-for-sept-17-50716376
1058103502	20210810	202108	2021	2021.6027	LEG	CONGRESS						LEG			CHRCTH	CATHOLIC				CHR	CTH				1	036	036	03	1	4.0	2	1	2	2.77777777777778	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	2	Utah, United States	US	USUT		40.1135	-111.854	UT	20220810230000	http://www.icatholic.org/article/pastoral-congress-scheduled-for-sept-17-50716376
1058103503	20210810	202108	2021	2021.6027	MOSSHI	SHIITE				MOS	SHI				MOSSUN	SUNNI				MOS	SUN				1	190	190	19	4	-10.0	8	1	8	-5.23763336566441	5	Diyala, DiyaláZ, Iraq	IZ	IZ10	36803	34	45	-3104863	5	Diyala, DiyaláZ, Iraq	IZ	IZ10	36803	34	45	-3104863	5	Diyala, DiyaláZ, Iraq	IZ	IZ10	36803	34	45	-3104863	20220810230000	https://www.al-monitor.com/originals/2022/08/suicide-attack-thwarted-iraqi-shiites-celebrate-ashura
1058103504	20210810	202108	2021	2021.6027	MOSSHI	SHIITE				MOS	SHI				MOSSUN	SUNNI				MOS	SUN				1	190	190	19	4	-10.0	1	1	1	-5.23763336566441	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	4	Kabul, Kabol, Afghanistan	AF	AF13	3580	34.5167	69.1833	-3378435	20220810230000	https://www.al-monitor.com/originals/2022/08/suicide-attack-thwarted-iraqi-shiites-celebrate-ashura
