1058030415	20210810	202108	2021	2021.6027	AUS	EYRE	AUS																		1	014	014	01	1	0.0	6	1	6	1.18811881188118	1	Malaysia	MY	MY		2.5	112.5	MY	0								1	Malaysia	MY	MY		2.5	112.5	MY	20220810131500	https://www.architectsjournal.co.uk/news/woods-bagot-to-submit-plans-for-skyscraper-by-leadenhall-market
1058030416	20210810	202108	2021	2021.6027	AUS	EYRE	AUS								GBR	UNITED KINGDOM	GBR								1	014	014	01	1	0.0	1	1	1	1.18811881188118	4	Bishopsgate, United Kingdom (general), United Kingdom	UK	UK00	154724	55.5167	-0.083333	-2590026	4	Bishopsgate, United Kingdom (general), United Kingdom	UK	UK00	154724	55.5167	-0.083333	-2590026	4	Bishopsgate, United Kingdom (general), United Kingdom	UK	UK00	154724	55.5167	-0.083333	-2590026	20220810131500	https://www.architectsjournal.co.uk/news/woods-bagot-to-submit-plans-for-skyscraper-by-leadenhall-market
1058030417	20210810	202108	2021	2021.6027	AUS	EYRE	AUS								GBR	UNITED KINGDOM	GBR								1	014	014	01	1	0.0	1	1	1	1.18811881188118	1	Malaysia	MY	MY		2.5	112.5	MY	1	Malaysia	MY	MY		2.5	112.5	MY	1	Malaysia	MY	MY		2.5	112.5	MY	20220810131500	https://www.architectsjournal.co.uk/news/woods-bagot-to-submit-plans-for-skyscraper-by-leadenhall-market
1058030418	20210810	202108	2021	2021.6027	GBR	UNITED KINGDOM	GBR																		1	014	014	01	1	0.0	1	1	1	1.18811881188118	4	Bishopsgate, United Kingdom (general), United Kingdom	UK	UK00	154724	55.5167	-0.083333	-2590026	0								4	Bishopsgate, United Kingdom (general), United Kingdom	UK	UK00	154724	55.5167	-0.083333	-2590026	20220810131500	https://www.architectsjournal.co.uk/news/woods-bagot-to-submit-plans-for-skyscraper-by-leadenhall-market
1058030419	20210810	202108	2021	2021.6027	GBR	UNITED KINGDOM	GBR																		1	014	014	01	1	0.0	1	1	1	1.18811881188118	1	China	CH	CH		35	105	CH	0								1	Malaysia	MY	MY		2.5	112.5	MY	20220810131500	https://www.architectsjournal.co.uk/news/woods-bagot-to-submit-plans-for-skyscraper-by-leadenhall-market
1058030420	20210810	202108	2021	2021.6027	UKRLEG	UKRAINE	UKR					LEG			UKR	UKRAINE	UKR								1	173	173	17	4	-5.0	2	1	2	-3.05676855895196	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220810131500	https://agenda.ge/en/news/2022/3034
1058030421	20210810	202108	2021	2021.6027	USA	WASHINGTON	USA																		1	043	043	04	1	2.8	2	1	2	-4.23387096774194	3	Fairfaxcounty, Virginia, United States	US	USVA	VA059	38.8501	-77.3497	1480119	0								3	Fairfaxcounty, Virginia, United States	US	USVA	VA059	38.8501	-77.3497	1480119	20220810131500	https://www.restonnow.com/2022/08/10/morning-notes-397/
1058030422	20210810	202108	2021	2021.6027	USA	WASHINGTON	USA																		1	043	043	04	1	2.8	8	1	8	-4.23387096774194	2	Virginia, United States	US	USVA		37.768	-78.2057	VA	0								3	Fairfaxcounty, Virginia, United States	US	USVA	VA059	38.8501	-77.3497	1480119	20220810131500	https://www.restonnow.com/2022/08/10/morning-notes-397/
1058030423	20220711	202207	2022	2022.5233	CVL	COMMUNITY						CVL			LEG	REPRESENTATIVES						LEG			0	043	043	04	1	2.8	2	1	2	0.1187648456057	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	3	Warren County, North Carolina, United States	US	USNC		36.3835	-78.0997	1008593	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20220810131500	https://www.warrenrecord.com/news/article_3f33bdd2-18aa-11ed-b280-67990b1877ad.html
1058030424	20220711	202207	2022	2022.5233	CVL	COMMUNITY						CVL			LEG	REPRESENTATIVES						LEG			0	043	043	04	1	2.8	8	1	8	0.1187648456057	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	2	North Carolina, United States	US	USNC		35.6411	-79.8431	NC	20220810131500	https://www.warrenrecord.com/news/article_3f33bdd2-18aa-11ed-b280-67990b1877ad.html
