1058054632	20210810	202108	2021	2021.6027											MNCCAN	TESCO	CAN					MNC			1	042	042	04	1	1.9	2	1	2	-5.3156146179402	0								4	Inverness, Highland, United Kingdom	UK	UKV3	40172	57.4667	-4.23333	-2599537	4	Inverness, Highland, United Kingdom	UK	UKV3	40172	57.4667	-4.23333	-2599537	20220810161500	https://www.inverness-courier.co.uk/news/national/jury-to-begin-deliberations-in-trial-of-pensioner-over-crash-that-killed-baby-55378/
1058054633	20210810	202108	2021	2021.6027	CHN	CHINA	CHN								GOV	FOREIGN MINIST						GOV			0	040	040	04	1	1.0	2	1	2	1.22390208783297	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20220810161500	https://www.india-briefing.com/news/india-wants-chabahar-port-to-be-a-conduit-for-trade-to-central-asia-russia-25666.html
1058054634	20210810	202108	2021	2021.6027	CHN	SHANGHAI	CHN								GOV	FOREIGN MINIST						GOV			0	040	040	04	1	1.0	5	1	5	1.22390208783297	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20220810161500	https://www.india-briefing.com/news/india-wants-chabahar-port-to-be-a-conduit-for-trade-to-central-asia-russia-25666.html
1058054635	20210810	202108	2021	2021.6027	CHN	SHANGHAI	CHN								GOV	FOREIGN MINIST						GOV			0	040	040	04	1	1.0	1	1	1	1.22390208783297	4	Chahbahar, Hamadan, Iran	IR	IR09	40971	35.0428	49.2039	-3057400	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20220810161500	https://www.india-briefing.com/news/india-wants-chabahar-port-to-be-a-conduit-for-trade-to-central-asia-russia-25666.html
1058054636	20210810	202108	2021	2021.6027	CHN	SHANGHAI	CHN								IRN	IRAN	IRN								0	051	051	05	1	3.4	8	1	8	1.22390208783297	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	4	Chabahar, Sistan va Baluchestan, Iran	IR	IR04	40918	25.2919	60.643	-3055106	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220810161500	https://www.india-briefing.com/news/india-wants-chabahar-port-to-be-a-conduit-for-trade-to-central-asia-russia-25666.html
1058054637	20210810	202108	2021	2021.6027	CHN	SHANGHAI	CHN								IRN	IRAN	IRN								0	051	051	05	1	3.4	2	1	2	1.22390208783297	4	Chahbahar, Hamadan, Iran	IR	IR09	40971	35.0428	49.2039	-3057400	4	Chabahar, Sistan va Baluchestan, Iran	IR	IR04	40918	25.2919	60.643	-3055106	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20220810161500	https://www.india-briefing.com/news/india-wants-chabahar-port-to-be-a-conduit-for-trade-to-central-asia-russia-25666.html
1058054638	20210810	202108	2021	2021.6027	CVL	COMMUNITY						CVL			EDU	SCHOLAR						EDU			0	046	046	04	1	7.0	10	1	10	1.29701686121919	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220810161500	https://news.mit.edu/2022/caspar-hare-georgia-perakis-associate-deans-social-ethical-responsibilities-0810
1058054639	20210810	202108	2021	2021.6027	EDU	SCHOLAR						EDU			CVL	COMMUNITY						CVL			0	046	046	04	1	7.0	10	1	10	1.29701686121919	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20220810161500	https://news.mit.edu/2022/caspar-hare-georgia-perakis-associate-deans-social-ethical-responsibilities-0810
1058054640	20210810	202108	2021	2021.6027	EGY	EGYPT	EGY								BUS	BUSINESS						BUS			0	111	111	11	3	-2.0	10	1	10	6.00393700787401	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	4	Cairo, Al Qahirah, Egypt	EG	EG11	65350	30.05	31.25	-290692	20220810161500	https://english.ahram.org.eg/News/472973.aspx
1058054641	20210810	202108	2021	2021.6027	GBR	BIRMINGHAM	GBR								GOV	GOVERNMENT						GOV			0	010	010	01	1	0.0	10	1	10	3.3195020746888	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	1	Ukraine	UP	UP		49	32	UP	20220810161500	https://www.birminghammail.co.uk/news/midlands-news/birmingham-interested-hosting-eurovision-doesnt-24722816
