1058051871	20210810	202108	2021	2021.6027	LEG	CONGRESS						LEG			MILJUD	MILITARY						MIL	JUD		0	173	173	17	4	-5.0	5	1	5	-5.35675082327113	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20220810160000	https://www.govexec.com/defense/2022/08/twice-accused-sexual-assault-he-was-let-go-army-commanders-he-attacked-again/375579/
1058051872	20210810	202108	2021	2021.6027	LEG	CONGRESS						LEG			MILJUD	MILITARY						MIL	JUD		0	180	180	18	4	-9.0	5	1	5	-5.35675082327113	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	2	Oklahoma, United States	US	USOK		35.5376	-96.9247	OK	20220810160000	https://www.govexec.com/defense/2022/08/twice-accused-sexual-assault-he-was-let-go-army-commanders-he-attacked-again/375579/
1058051873	20210810	202108	2021	2021.6027	USA	UNITED STATES	USA																		0	173	173	17	4	-5.0	4	1	4	-7.981220657277	3	Wabaunsee, Kansas, United States	US	USKS	KS197	39.1461	-96.3461	476423	0								3	Wabaunsee, Kansas, United States	US	USKS	KS197	39.1461	-96.3461	476423	20220810160000	https://kvoe.com/2022/08/10/former-wabaunsee-county-coroner-ordered-not-to-do-business-in-kansas/
1058051874	20220711	202207	2022	2022.5233											GBR	UNITED KINGDOM	GBR								1	190	190	19	4	-10.0	4	1	4	1.55316606929511	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20220810160000	https://www.manchestereveningnews.co.uk/news/greater-manchester-news/mums-heartbreaking-tribute-beautiful-son-24720892
1058051875	20220711	202207	2022	2022.5233											LEG	CONGRESS						LEG			1	051	051	05	1	3.4	20	1	20	-6.63650075414781	0								2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	2	New Mexico, United States	US	USNM		34.8375	-106.237	NM	20220810160000	https://patriotpost.us/articles/90422-wednesday-executive-news-summary-2022-08-10
1058051876	20220711	202207	2022	2022.5233	GBR	UNITED KINGDOM	GBR																		1	190	190	19	4	-10.0	4	1	4	1.55316606929511	4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	0								4	Manchester, Manchester, United Kingdom	UK	UKI2	40118	53.5	-2.21667	-2602512	20220810160000	https://www.manchestereveningnews.co.uk/news/greater-manchester-news/mums-heartbreaking-tribute-beautiful-son-24720892
1058051877	20220711	202207	2022	2022.5233	GOV	MINIST OF ELECTRICITY						GOV			SCGSRB	SERBIA	SRB								1	012	012	01	1	-0.4	10	1	10	-4.56553755522828	1	Norway	NO	NO		62	10	NO	1	Norway	NO	NO		62	10	NO	1	Norway	NO	NO		62	10	NO	20220810160000	https://balkangreenenergynews.com/drought-lowers-hydropower-plant-output-in-serbia-europe/
1058051878	20220711	202207	2022	2022.5233	TUR	ANTALYA	TUR																		1	036	036	03	1	4.0	10	1	10	-5.75815738963532	4	Antalya, Antalya, Turkey	TU	TU07	27547	36.9081	30.6956	-735347	0								4	Antalya, Antalya, Turkey	TU	TU07	27547	36.9081	30.6956	-735347	20220810160000	https://www.mirror.co.uk/news/uk-news/mum-left-55000-bill-after-27708389
1058051879	20220803	202208	2022	2022.5836	CHNGOV	CHINESE	CHN					GOV			CHNMED	CHINA	CHN					MED			0	112	112	11	3	-2.0	2	1	2	-1.47368421052631	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	20220810160000	https://www.theguardian.com/politics/2022/aug/10/liz-truss-summons-chinese-ambassador-over-aggression-towards-taiwan
1058051880	20220803	202208	2022	2022.5836	IRQLEG	IRAQ	IRQ					LEG			GOV	GOVERNMENT						GOV			1	190	190	19	4	-10.0	5	1	5	-5.07042253521127	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	20220810160000	https://apnews.com/6e3c9613dfb5a382d3d6818508f04d0a
1058051881	20220803	202208	2022	2022.5836	RUS	RUSSIA	RUS								UKR	UKRAINE	UKR								1	112	112	11	3	-2.0	5	1	5	-6	4	Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine	UP	UP04	28546	48.463	35.039	-1037865	4	Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine	UP	UP04	28546	48.463	35.039	-1037865	4	Dnipropetrovsk, Dnipropetrovs'ka Oblast', Ukraine	UP	UP04	28546	48.463	35.039	-1037865	20220810160000	https://www.bbc.com/news/world-europe-62491055
1058051882	20220803	202208	2022	2022.5836	TWN	TAIWANESE	TWN								CHN	CHINA	CHN								1	194	194	19	4	-10.0	1	1	1	-3.10296191819464	4	Beijing, Beijing, China	CH	CH22	13001	39.9289	116.388	-1898541	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	4	Taipei, T'ai-pei, Taiwan	TW	TW03	13277	25.0478	121.532	-2637882	20220810160000	https://www.breitbart.com/national-security/2022/08/09/taiwan-conducts-live-fire-drills-response-chinese-pressure-tactics/
1058051883	20220803	202208	2022	2022.5836	UKR	UKRAINE	UKR								RUS	RUSSIA	RUS								1	112	112	11	3	-2.0	4	1	4	-6	4	Kherson, Khersons'ka Oblast', Ukraine	UP	UP08	28557	46.6558	32.6178	-1041356	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kherson, Khersons'ka Oblast', Ukraine	UP	UP08	28557	46.6558	32.6178	-1041356	20220810160000	https://www.bbc.com/news/world-europe-62491055
1058051884	20220803	202208	2022	2022.5836	UKR	UKRAINE	UKR								RUS	RUSSIA	RUS								1	112	112	11	3	-2.0	1	1	1	-6	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Moscow, Moskva, Russia	RS	RS48	25106	55.7522	37.6156	-2960561	4	Kherson, Khersons'ka Oblast', Ukraine	UP	UP08	28557	46.6558	32.6178	-1041356	20220810160000	https://www.bbc.com/news/world-europe-62491055
