1058028588	20210810	202108	2021	2021.6027											GOV	MINIST OF FOREIGN AFFAIRS						GOV			0	060	060	06	2	6.0	6	1	6	0.81466395112016	0								4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	4	Pretoria, Gauteng, South Africa	SF	SF06	77346	-25.7069	28.2294	-1273769	20220810130000	https://www.iol.co.za/news/politics/zim-minister-says-harare-ready-to-welcome-its-citizens-as-permits-expire-in-sa-5ac9a05c-f42e-464b-979e-a18c57ec32fa
1058028589	20210810	202108	2021	2021.6027											IRL	IRELAND	IRL								1	042	042	04	1	1.9	1	1	1	2.28690228690228	0								4	Roscommon, Roscommon, Ireland	EI	EI24	18303	53.6333	-8.18333	-1505403	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20220810130000	https://www.corkindependent.com/2022/08/10/cannonball-gets-into-gear/
1058028590	20210810	202108	2021	2021.6027											IRL	IRELAND	IRL								1	042	042	04	1	1.9	5	1	5	2.28690228690228	0								4	Calcutta, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	4	Calcutta, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20220810130000	https://www.corkindependent.com/2022/08/10/cannonball-gets-into-gear/
1058028591	20210810	202108	2021	2021.6027	CVL	VILLAGE						CVL													1	090	090	09	2	-2.0	1	1	1	-4.00728597449909	5	Gloucestershire, Gloucestershire, United Kingdom	UK	UKE6	40113	51.8333	-2.16667	-2597217	0								5	Gloucestershire, Gloucestershire, United Kingdom	UK	UKE6	40113	51.8333	-2.16667	-2597217	20220810130000	https://www.dailymail.co.uk/news/article-11098909/Two-fake-speed-cameras-erected-village-stop-drivers-repeatedly-breaking-30mph-limit-taken-down.html
1058028592	20210810	202108	2021	2021.6027	CVL	VILLAGE						CVL													1	090	090	09	2	-2.0	4	1	4	-4.00728597449909	4	Shurdington, Gloucestershire, United Kingdom	UK	UKE6	40113	51.8667	-2.11667	-2607772	0								4	Shurdington, Gloucestershire, United Kingdom	UK	UKE6	40113	51.8667	-2.11667	-2607772	20220810130000	https://www.dailymail.co.uk/news/article-11098909/Two-fake-speed-cameras-erected-village-stop-drivers-repeatedly-breaking-30mph-limit-taken-down.html
1058028593	20210810	202108	2021	2021.6027	GOV	MINIST OF FOREIGN AFFAIRS						GOV			ZWE	ZIMBABWE	ZWE								0	060	060	06	2	6.0	2	1	2	0.81466395112016	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20220810130000	https://www.iol.co.za/news/politics/zim-minister-says-harare-ready-to-welcome-its-citizens-as-permits-expire-in-sa-5ac9a05c-f42e-464b-979e-a18c57ec32fa
1058028594	20210810	202108	2021	2021.6027	IRL	IRELAND	IRL																		1	043	043	04	1	2.8	6	1	6	2.28690228690228	4	Ballymaloe House, Cork, Ireland	EI	EI04	18286	51.8633	-8.0775	349280	0								4	Ballymaloe House, Cork, Ireland	EI	EI04	18286	51.8633	-8.0775	349280	20220810130000	https://www.corkindependent.com/2022/08/10/cannonball-gets-into-gear/
1058028595	20210810	202108	2021	2021.6027	KAZ	KAZAKHSTAN	KAZ								CHN	CHINA	CHN								0	172	172	17	4	-5.0	10	1	10	-2.62008733624454	1	Kazakhstan	KZ	KZ		48	68	KZ	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20220810130000	https://www.coinspeaker.com/kazakhstan-crypto-mining-hotel/
1058028596	20210810	202108	2021	2021.6027	KAZ	KAZAKHSTAN	KAZ								CHN	CHINA	CHN								1	172	172	17	4	-5.0	10	1	10	-2.62008733624454	1	Kazakhstan	KZ	KZ		48	68	KZ	1	Kazakhstan	KZ	KZ		48	68	KZ	1	Kazakhstan	KZ	KZ		48	68	KZ	20220810130000	https://www.coinspeaker.com/kazakhstan-crypto-mining-hotel/
1058028597	20210810	202108	2021	2021.6027	ZWE	ZIMBABWE	ZWE								GOV	DIPLOMAT						GOV			0	060	060	06	2	6.0	2	1	2	0.81466395112016	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	4	Harare, Mashonaland East, Zimbabwe	ZI	ZI04	40197	-17.8178	31.0447	-2312291	20220810130000	https://www.iol.co.za/news/politics/zim-minister-says-harare-ready-to-welcome-its-citizens-as-permits-expire-in-sa-5ac9a05c-f42e-464b-979e-a18c57ec32fa
